Make,Price,City.mpg,Hwy.mpg,Horsepower,Curb.weight,Combined.mpg
Acura,28100,25,35,201,3093,29
Audi,31950,25,33,186,3439,28
BMW,34900,23,35,180,3370,27
Cadillac,38495,20,29,272,3418,23
Chevrolet,16975,27,40,153,2835,32
Ford,17950,25,34,160,2928,28
Honda,23250,31,40,174,2950,36
Hyundai,20550,32,40,128,2857,35
Kia,21700,29,37,164,2908,32
Mazda,24195,27,36,184,3100,30
Mercedes-Benz,32700,24,37,208,3274,29
Mitsubishi,16095,37,43,78,2095,39
Mitsubishi,13995,35,41,78,2194,37
Nissan,16990,27,35,130,2848,30
Nissan,12110,27,36,109,2404,30
Subaru,18495,24,32,152,2974,27
Subaru,26995,21,27,268,3294,23
Toyota,18600,28,35,132,2840,31
Volkswagen,34475,22,31,200,3369,25
Volkswagen,18645,28,40,150,2930,33
Volvo,36100,22,32,240,3500,26
